最新央卫,#genre#
CCTV-1综合,http://39.134.65.106/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2财经,http://39.134.65.106/PLTV/88888888/224/3221225599/1.m3u8
CCTV-3综艺,http://39.134.65.106/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4中文国际,http://39.134.65.106/PLTV/88888888/224/3221225797/1.m3u8
CCTV-5体育,http://39.134.65.106/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5+体育赛事,http://39.134.65.106/PLTV/88888888/224/3221225507/1.m3u8
CCTV-6电影,http://39.134.65.106/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7国防军事,http://39.134.65.106/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8电视剧,http://39.134.65.106/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9纪录,http://39.134.65.106/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10科教,http://39.134.65.106/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11戏曲,http://39.134.65.106/PLTV/88888888/224/3221225517/1.m3u8
CCTV-12社会与法,http://39.134.65.106/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13新闻,http://39.134.65.106/PLTV/88888888/224/3221225812/1.m3u8
CCTV-14少儿,http://39.134.65.106/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15音乐,http://39.134.65.106/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15音乐,http://39.134.65.106/PLTV/88888888/224/3221226127/1.m3u8
CCTV-16奥林匹克,http://39.134.65.106/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17农业农村,http://39.134.65.106/PLTV/88888888/224/3221225708/1.m3u8
北京卫视,http://39.134.65.106/PLTV/88888888/224/3221225931/1.m3u8
东方卫视,http://39.134.65.106/PLTV/88888888/224/3221225942/1.m3u8
浙江卫视,http://39.134.65.106/PLTV/88888888/224/3221225959/1.m3u8
江苏卫视,http://39.134.65.106/PLTV/88888888/224/3221225938/1.m3u8
湖南卫视,http://39.134.65.106/PLTV/88888888/224/3221225506/1.m3u8
广东卫视,http://39.134.65.106/PLTV/88888888/224/3221225966/1.m3u8
深圳卫视,http://39.134.65.106/PLTV/88888888/224/3221225943/1.m3u8
黑龙江卫视,http://39.134.65.106/PLTV/88888888/224/3221225994/1.m3u8
安徽卫视,http://39.134.65.106/PLTV/88888888/224/3221225925/1.m3u8
江西卫视,http://39.134.65.106/PLTV/88888888/224/3221225935/1.m3u8
东南卫视,http://39.134.65.106/PLTV/88888888/224/3221225950/1.m3u8
山东卫视,http://39.134.65.106/PLTV/88888888/224/3221225952/1.m3u8
河北卫视,http://39.134.65.106/PLTV/88888888/224/3221225961/1.m3u8
重庆卫视,http://39.134.65.106/PLTV/88888888/224/3221225963/1.m3u8
四川卫视,http://39.134.65.106/PLTV/88888888/224/3221225970/1.m3u8
天津卫视,http://39.134.65.106/PLTV/88888888/224/3221225972/1.m3u8
贵州卫视,http://39.134.65.106/PLTV/88888888/224/3221225974/1.m3u8
湖北卫视,http://39.134.65.106/PLTV/88888888/224/3221225975/1.m3u8
